s = 1.26076, d = 0.00624169
s = 4.54555, d = 0.00640068
s = 9.74887, d = 0.00665253
s = 16.9933, d = 0.00700317
s = 26.0177, d = 0.00743997
s = 35.2422, d = 0.00788646
s = 44.4871, d = 0.00833393
s = 53.6307, d = 0.00843097
s = 60.8263, d = -0.0744209
s = 67.0851, d = -0.00169238
s = 73.6277, d = -0.152458
s = 73.6277, d = -8.56739
s = 73.6277, d = 17.8074
s = 73.6277, d = 27.0556
s = 73.6277, d = 36.2695
s = 73.6277, d = 45.5117
s = 73.6277, d = 54.757
s = 73.6277, d = 63.9883
s = 73.6277, d = 73.2156
s = 73.6277, d = 82.4515
s = 73.6277, d = 91.6756
s = 73.6277, d = 100.924
s = 73.6277, d = 110.155
s = 73.6277, d = -119.368
s = 73.6277, d = -128.609
s = 73.6277, d = -137.841
s = 73.6277, d = -147.089
s = 73.6277, d = -156.334
s = 73.6277, d = -165.568
s = 73.6277, d = -174.784
s = 73.6277, d = -184.001
s = 73.6277, d = -193.252
s = 73.6277, d = 202.41
s = 73.6277, d = 211.642
s = 73.6277, d = 220.876
s = 73.6277, d = 230.12
s = 73.6277, d = 239.349
s = 73.6277, d = -248.588
s = 73.6277, d = -257.821
s = 73.6277, d = -267.046
s = 73.6277, d = -276.277
s = 73.6277, d = -285.527
s = 73.6277, d = -294.75
s = 73.6277, d = -303.979
s = 73.6277, d = -313.224
s = 73.6277, d = -322.418
s = 73.6277, d = -331.63
s = 73.6277, d = -340.845
s = 73.6277, d = -350.078
s = 73.6277, d = -359.301
s = 73.6277, d = -368.545
s = 73.6277, d = -377.803
s = 73.6277, d = -387.027
s = 73.6277, d = -396.25
s = 73.6277, d = -405.505
s = 73.6277, d = -414.737
