s = 0.150633, d = 0.00618795
s = 0.17634, d = 0.0061892
s = 0.227198, d = 0.00619166
s = 0.302042, d = 0.00619528
s = 0.402602, d = 0.00620015
s = 0.525674, d = 0.00620611
s = 0.672442, d = 0.00621321
s = 0.844813, d = 0.00622155
s = 1.0418, d = 0.00623109
s = 1.26076, d = 0.00624169
s = 1.49709, d = 0.00625312
s = 1.75652, d = 0.00626568
s = 2.03994, d = 0.0062794
s = 2.3404, d = 0.00629394
s = 2.65837, d = 0.00630933
s = 3.0002, d = 0.00632588
s = 3.35678, d = 0.00634314
s = 3.73843, d = 0.00636161
s = 4.13511, d = 0.00638081
s = 4.54555, d = 0.00640068
s = 4.97308, d = 0.00642137
s = 5.41927, d = 0.00644297
s = 5.88924, d = 0.00646571
s = 6.3842, d = 0.00648967
s = 6.89742, d = 0.00651451
s = 7.42725, d = 0.00654016
s = 7.97574, d = 0.00656671
s = 8.54817, d = 0.00659441
s = 9.13715, d = 0.00662292
s = 9.74887, d = 0.00665253
s = 10.382, d = 0.00668317
s = 11.0373, d = 0.00671489
s = 11.7094, d = 0.00674742
s = 12.3984, d = 0.00678077
s = 13.1088, d = 0.00681515
s = 13.839, d = 0.0068505
s = 14.5942, d = 0.00688705
s = 15.3725, d = 0.00692472
s = 16.1728, d = 0.00696346
s = 16.9933, d = 0.00700317
s = 17.8306, d = 0.0070437
s = 18.6923, d = 0.00708541
s = 19.5749, d = 0.00712813
s = 20.4716, d = 0.00717153
s = 21.3917, d = 0.00721607
s = 22.3141, d = 0.00726071
s = 23.2403, d = 0.00730554
s = 24.1639, d = 0.00735025
s = 25.092, d = 0.00739517
s = 26.0177, d = 0.00743997
s = 26.9367, d = 0.00748446
s = 27.8659, d = 0.00752943
s = 28.7949, d = 0.0075744
s = 29.7149, d = 0.00761893
s = 30.6421, d = 0.0076638
s = 31.5648, d = 0.00770847
s = 32.4846, d = 0.00775299
s = 33.4044, d = 0.00779751
s = 34.3227, d = 0.00784196
s = 35.2422, d = 0.00788646
s = 36.1654, d = 0.00793115
s = 37.0942, d = 0.0079761
s = 38.0181, d = 0.00802082
s = 38.9393, d = 0.00806541
s = 39.8636, d = 0.00811015
s = 40.7927, d = 0.00815512
s = 41.7212, d = 0.00820006
s = 42.642, d = 0.00824463
s = 43.5631, d = 0.00828921
s = 44.4871, d = 0.00833393
s = 45.4061, d = 0.00837841
s = 46.3298, d = 0.00842312
s = 47.2515, d = 0.00846774
s = 48.1727, d = 0.00850315
s = 49.0896, d = 0.00848717
s = 50.0104, d = 0.00847113
s = 50.9307, d = 0.0084551
s = 51.857, d = 0.00843896
s = 52.7656, d = 0.00842313
s = 53.6307, d = 0.00843097
s = 54.4508, d = 0.00855898
s = 55.2259, d = 0.00867996
s = 55.956, d = 0.00879392
s = 56.6411, d = 0.00890086
s = 57.2812, d = 0.00900077
s = 57.9473, d = 0.00910475
s = 58.6399, d = 0.00945417
s = 59.3596, d = 0.0102417
s = 60.1048, d = -0.0249097
s = 60.8263, d = -0.0744209
s = 61.5031, d = -0.122356
s = 62.1316, d = -0.0718063
s = 62.7579, d = 0.00409981
s = 63.3571, d = -0.14478
s = 63.9757, d = -0.0822746
s = 64.6003, d = -0.0191665
s = 65.2211, d = 0.00251152
s = 65.8402, d = 0.00567567
s = 66.4591, d = 0.00423117
s = 67.0851, d = -0.00169238
s = 67.7041, d = -0.0123906
s = 68.3319, d = -0.0232394
s = 68.9519, d = -0.00906746
s = 69.5894, d = -0.0092461
s = 70.2413, d = -0.00942874
s = 70.912, d = -0.00961666
s = 71.6064, d = -0.00981123
s = 72.3142, d = -0.0100095
s = 73.0371, d = -0.00988215
s = 73.6277, d = -0.152458
s = 73.6277, d = -0.908976
s = 73.6277, d = -1.68166
s = 73.6277, d = -2.47178
s = 73.6277, d = -3.27659
s = 73.6277, d = -4.10265
s = 73.6277, d = -4.9546
s = 73.6277, d = -5.83061
s = 73.6277, d = -6.72859
s = 73.6277, d = -7.64996
s = 73.6277, d = -8.56739
s = 73.6277, d = 9.49439
s = 73.6277, d = 10.4176
s = 73.6277, d = 11.3433
s = 73.6277, d = 12.2691
s = 73.6277, d = 13.1942
s = 73.6277, d = 14.1171
s = 73.6277, d = 15.0399
s = 73.6277, d = 15.9669
s = 73.6277, d = 16.888
s = 73.6277, d = 17.8074
s = 73.6277, d = 18.7303
s = 73.6277, d = 19.6557
s = 73.6277, d = 20.5824
s = 73.6277, d = 21.5052
s = 73.6277, d = 22.4226
s = 73.6277, d = 23.3524
s = 73.6277, d = 24.2803
s = 73.6277, d = 25.2014
s = 73.6277, d = 26.1284
s = 73.6277, d = 27.0556
s = 73.6277, d = 27.9816
s = 73.6277, d = 28.8994
s = 73.6277, d = 29.8248
s = 73.6277, d = 30.7498
s = 73.6277, d = 31.6668
s = 73.6277, d = 32.5869
s = 73.6277, d = 33.5138
s = 73.6277, d = 34.4338
s = 73.6277, d = 35.351
s = 73.6277, d = 36.2695
s = 73.6277, d = 37.198
s = 73.6277, d = 38.1264
s = 73.6277, d = 39.054
s = 73.6277, d = 39.98
s = 73.6277, d = 40.8995
s = 73.6277, d = 41.8232
s = 73.6277, d = 42.7411
s = 73.6277, d = 43.6622
s = 73.6277, d = 44.5852
s = 73.6277, d = 45.5117
s = 73.6277, d = 46.4403
s = 73.6277, d = 47.3611
s = 73.6277, d = 48.2894
s = 73.6277, d = 49.2108
s = 73.6277, d = 50.1372
s = 73.6277, d = 51.0647
s = 73.6277, d = 51.9853
s = 73.6277, d = 52.911
s = 73.6277, d = 53.8386
s = 73.6277, d = 54.757
s = 73.6277, d = 55.6741
s = 73.6277, d = 56.6029
s = 73.6277, d = 57.5324
s = 73.6277, d = 58.4526
s = 73.6277, d = 59.3823
s = 73.6277, d = 60.3114
s = 73.6277, d = 61.2293
s = 73.6277, d = 62.1497
s = 73.6277, d = 63.0681
s = 73.6277, d = 63.9883
s = 73.6277, d = 64.9171
s = 73.6277, d = 65.8417
s = 73.6277, d = 66.7625
